AMBITO_NOMBRE;EMBALSE_NOMBRE;FECHA;AGUA_TOTAL;AGUA_ACTUAL
Guadiana;Cijara;05/01/1988;1505,00;672,00
Guadiana;Cijara;12/01/1988;1505,00;678,00
Guadiana;Cijara;19/01/1988;1505,00;711,00
Guadiana;Cijara;26/01/1988;1505,00;730,00
Guadiana;Cijara;02/02/1988;1505,00;821,00
Guadiana;Cijara;09/02/1988;1505,00;856,00
Guadiana;Cijara;16/02/1988;1505,00;867,00
Guadiana;Cijara;23/02/1988;1505,00;869,00
Guadiana;Cijara;01/03/1988;1505,00;869,00
Guadiana;Cijara;08/03/1988;1505,00;864,00
Guadiana;Cijara;15/03/1988;1505,00;855,00
Guadiana;Cijara;22/03/1988;1505,00;845,00
Guadiana;Cijara;29/03/1988;1505,00;835,00
Guadiana;Cijara;05/04/1988;1505,00;829,00
Guadiana;Cijara;12/04/1988;1505,00;818,00
Guadiana;Cijara;19/04/1988;1505,00;811,00
Guadiana;Cijara;26/04/1988;1505,00;800,00
Guadiana;Cijara;03/05/1988;1505,00;790,00
Guadiana;Cijara;10/05/1988;1505,00;784,00
Guadiana;Cijara;17/05/1988;1505,00;778,00
Guadiana;Cijara;24/05/1988;1505,00;769,00
Guadiana;Cijara;31/05/1988;1505,00;757,00
Guadiana;Cijara;07/06/1988;1505,00;751,00
Guadiana;Cijara;14/06/1988;1505,00;739,00
Guadiana;Cijara;21/06/1988;1505,00;770,00
Guadiana;Cijara;28/06/1988;1505,00;719,00
Guadiana;Cijara;05/07/1988;1505,00;715,00
Guadiana;Cijara;12/07/1988;1505,00;716,00
Guadiana;Cijara;19/07/1988;1505,00;716,00
Guadiana;Cijara;26/07/1988;1505,00;714,00
Guadiana;Cijara;02/08/1988;1505,00;713,00
Guadiana;Cijara;09/08/1988;1505,00;710,00
Guadiana;Cijara;16/08/1988;1505,00;709,00
Guadiana;Cijara;23/08/1988;1505,00;708,00
Guadiana;Cijara;30/08/1988;1505,00;706,00
Guadiana;Cijara;06/09/1988;1505,00;705,00
Guadiana;Cijara;13/09/1988;1505,00;704,00
Guadiana;Cijara;20/09/1988;1505,00;703,00
Guadiana;Cijara;27/09/1988;1505,00;702,00
Guadiana;Cijara;04/10/1988;1505,00;701,00
Guadiana;Cijara;11/10/1988;1505,00;701,00
Guadiana;Cijara;18/10/1988;1505,00;701,00
Guadiana;Cijara;25/10/1988;1505,00;704,00
Guadiana;Cijara;01/11/1988;1505,00;705,00
Guadiana;Cijara;08/11/1988;1505,00;706,00
Guadiana;Cijara;15/11/1988;1505,00;712,00
Guadiana;Cijara;22/11/1988;1505,00;714,00
Guadiana;Cijara;29/11/1988;1505,00;715,00
Guadiana;Cijara;06/12/1988;1505,00;710,00
Guadiana;Cijara;13/12/1988;1505,00;706,00
Guadiana;Cijara;20/12/1988;1505,00;697,00
Guadiana;Cijara;27/12/1988;1505,00;689,00
Guadiana;Cijara;03/01/1989;1505,00;682,00
Guadiana;Cijara;10/01/1989;1505,00;684,00
Guadiana;Cijara;17/01/1989;1505,00;686,00
Guadiana;Cijara;24/01/1989;1505,00;674,00
Guadiana;Cijara;31/01/1989;1505,00;661,00
Guadiana;Cijara;07/02/1989;1505,00;650,00
Guadiana;Cijara;14/02/1989;1505,00;637,00
Guadiana;Cijara;21/02/1989;1505,00;650,00
Guadiana;Cijara;28/02/1989;1505,00;637,00
Guadiana;Cijara;07/03/1989;1505,00;610,00
Guadiana;Cijara;14/03/1989;1505,00;592,00
Guadiana;Cijara;21/03/1989;1505,00;574,00
Guadiana;Cijara;28/03/1989;1505,00;563,00
Guadiana;Cijara;04/04/1989;1505,00;545,00
Guadiana;Cijara;11/04/1989;1505,00;533,00
Guadiana;Cijara;18/04/1989;1505,00;522,00
Guadiana;Cijara;25/04/1989;1505,00;508,00
Guadiana;Cijara;02/05/1989;1505,00;492,00
Guadiana;Cijara;09/05/1989;1505,00;477,00
Guadiana;Cijara;16/05/1989;1505,00;453,00
Guadiana;Cijara;23/05/1989;1505,00;435,00
Guadiana;Cijara;30/05/1989;1505,00;453,00
Guadiana;Cijara;06/06/1989;1505,00;393,00
Guadiana;Cijara;13/06/1989;1505,00;370,00
Guadiana;Cijara;20/06/1989;1505,00;348,00
Guadiana;Cijara;27/06/1989;1505,00;325,00
Guadiana;Cijara;04/07/1989;1505,00;302,00
Guadiana;Cijara;11/07/1989;1505,00;277,00
Guadiana;Cijara;18/07/1989;1505,00;241,00
Guadiana;Cijara;25/07/1989;1505,00;194,00
Guadiana;Cijara;01/08/1989;1505,00;151,00
Guadiana;Cijara;08/08/1989;1505,00;149,00
Guadiana;Cijara;15/08/1989;1505,00;148,00
Guadiana;Cijara;22/08/1989;1505,00;148,00
Guadiana;Cijara;29/08/1989;1505,00;147,00
Guadiana;Cijara;05/09/1989;1505,00;146,00
Guadiana;Cijara;12/09/1989;1505,00;146,00
Guadiana;Cijara;19/09/1989;1505,00;145,00
Guadiana;Cijara;26/09/1989;1505,00;145,00
Guadiana;Cijara;03/10/1989;1505,00;144,00
Guadiana;Cijara;10/10/1989;1505,00;144,00
Guadiana;Cijara;17/10/1989;1505,00;143,00
Guadiana;Cijara;24/10/1989;1505,00;143,00
Guadiana;Cijara;31/10/1989;1505,00;143,00
Guadiana;Cijara;07/11/1989;1505,00;143,00
Guadiana;Cijara;14/11/1989;1505,00;143,00
Guadiana;Cijara;21/11/1989;1505,00;142,00
Guadiana;Cijara;28/11/1989;1505,00;157,00
Guadiana;Cijara;05/12/1989;1505,00;185,00
Guadiana;Cijara;12/12/1989;1505,00;227,00
Guadiana;Cijara;19/12/1989;1505,00;286,00
Guadiana;Cijara;26/12/1989;1505,00;503,00
Guadiana;Cijara;02/01/1990;1505,00;616,00
Guadiana;Cijara;09/01/1990;1505,00;661,00
Guadiana;Cijara;16/01/1990;1505,00;681,00
Guadiana;Cijara;23/01/1990;1505,00;691,00
Guadiana;Cijara;30/01/1990;1505,00;702,00
Guadiana;Cijara;06/02/1990;1505,00;743,00
Guadiana;Cijara;13/02/1990;1505,00;764,00
Guadiana;Cijara;20/02/1990;1505,00;776,00
Guadiana;Cijara;27/02/1990;1505,00;784,00
Guadiana;Cijara;06/03/1990;1505,00;791,00
Guadiana;Cijara;13/03/1990;1505,00;798,00
Guadiana;Cijara;20/03/1990;1505,00;803,00
Guadiana;Cijara;27/03/1990;1505,00;795,00
Guadiana;Cijara;03/04/1990;1505,00;786,00
Guadiana;Cijara;10/04/1990;1505,00;778,00
Guadiana;Cijara;17/04/1990;1505,00;775,00
Guadiana;Cijara;24/04/1990;1505,00;764,00
Guadiana;Cijara;01/05/1990;1505,00;752,00
Guadiana;Cijara;08/05/1990;1505,00;746,00
Guadiana;Cijara;15/05/1990;1505,00;734,00
Guadiana;Cijara;22/05/1990;1505,00;722,00
Guadiana;Cijara;29/05/1990;1505,00;710,00
Guadiana;Cijara;05/06/1990;1505,00;696,00
Guadiana;Cijara;12/06/1990;1505,00;682,00
Guadiana;Cijara;19/06/1990;1505,00;667,00
Guadiana;Cijara;26/06/1990;1505,00;650,00
Guadiana;Cijara;03/07/1990;1505,00;636,00
Guadiana;Cijara;10/07/1990;1505,00;620,00
Guadiana;Cijara;17/07/1990;1505,00;606,00
Guadiana;Cijara;24/07/1990;1505,00;558,00
Guadiana;Cijara;31/07/1990;1505,00;573,00
Guadiana;Cijara;07/08/1990;1505,00;555,00
Guadiana;Cijara;14/08/1990;1505,00;536,00
Guadiana;Cijara;21/08/1990;1505,00;521,00
Guadiana;Cijara;28/08/1990;1505,00;511,00
Guadiana;Cijara;04/09/1990;1505,00;501,00
Guadiana;Cijara;11/09/1990;1505,00;491,00
Guadiana;Cijara;18/09/1990;1505,00;482,00
Guadiana;Cijara;25/09/1990;1505,00;472,00
Guadiana;Cijara;02/10/1990;1505,00;464,00
Guadiana;Cijara;09/10/1990;1505,00;455,00
Guadiana;Cijara;16/10/1990;1505,00;447,00
Guadiana;Cijara;23/10/1990;1505,00;440,00
Guadiana;Cijara;30/10/1990;1505,00;433,00
Guadiana;Cijara;06/11/1990;1505,00;427,00
Guadiana;Cijara;13/11/1990;1505,00;423,00
Guadiana;Cijara;20/11/1990;1505,00;416,00
Guadiana;Cijara;27/11/1990;1505,00;410,00
Guadiana;Cijara;04/12/1990;1505,00;405,00
Guadiana;Cijara;11/12/1990;1505,00;400,00
Guadiana;Cijara;18/12/1990;1505,00;393,00
Guadiana;Cijara;25/12/1990;1505,00;387,00
Guadiana;Cijara;01/01/1991;1505,00;372,00
Guadiana;Cijara;08/01/1991;1505,00;379,00
Guadiana;Cijara;15/01/1991;1505,00;382,00
Guadiana;Cijara;22/01/1991;1505,00;384,00
Guadiana;Cijara;29/01/1991;1505,00;385,00
